"filename", "language", "TypeScript", "CSS", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "SQLite", "TypeScript JSX", "YAML", "comment", "blank", "total"
"d:\College\Sem3\Db\GroupProject\rms\README.md", "Markdown", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 28, 99
"d:\College\Sem3\Db\GroupProject\rms\app\about\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\College\Sem3\Db\GroupProject\rms\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 15, 5, 146
"d:\College\Sem3\Db\GroupProject\rms\app\api\ai\insights\route.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 91
"d:\College\Sem3\Db\GroupProject\rms\app\api\ai\inventory-insights\route.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 100
"d:\College\Sem3\Db\GroupProject\rms\app\api\departments\[departmentId]\route.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 100
"d:\College\Sem3\Db\GroupProject\rms\app\api\departments\route.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 64
"d:\College\Sem3\Db\GroupProject\rms\app\api\dishes\[id]\ingredients\route.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 134
"d:\College\Sem3\Db\GroupProject\rms\app\api\dishes\[id]\route.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 86
"d:\College\Sem3\Db\GroupProject\rms\app\api\dishes\route.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 85
"d:\College\Sem3\Db\GroupProject\rms\app\api\employees\[id]\route.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 190
